film,character,dialogue,cleaned_dialogue
Pulp Fiction,JULES,"� Okay now, tell me about the hash bars?","� Okay now, tell me about the hash bars?"
Pulp Fiction,VINCENT,What so you want to know?,What so you want to know?
Pulp Fiction,JULES,"Well, hash is legal there, right?","Well, hash is legal there, right?"
Pulp Fiction,VINCENT,"Yeah, it's legal, but is ain't a hundred percent legal. I mean you can't walk into a restaurant, roll a joint, and start puffin' away. You're only supposed to smoke in your home or certain designated places.","Yeah, it's legal, but is ain't a hundred percent legal. I mean you can't walk into a restaurant, roll a joint, and start puffin' away. You're only supposed to smoke in your home or certain designated places."
Pulp Fiction,JULES,Those are hash bars?,Those are hash bars?
Pulp Fiction,VINCENT,"Yeah, it breaks down like this: it's legal to buy it, it's legal to own it and, if you're the proprietor of a hash bar, it's legal to sell it. It's legal to carry it, which doesn't really matter 'cause � get a load of this � if the cops stop you, it's illegal for this to search you. Searching you is a right that the cops in Amsterdam don't have.","Yeah, it breaks down like this: it's legal to buy it, it's legal to own it and, if you're the proprietor of a hash bar, it's legal to sell it. It's legal to carry it, which doesn't really matter 'cause � get a load of this � if the cops stop you, it's illegal for this to search you. Searching you is a right that the cops in Amsterdam don't have."
Pulp Fiction,JULES,"That did it, man � I'm fuckin' goin', that's all there is to it.","That did it, man � I'm fuckin' goin', that's all there is to it."
Pulp Fiction,VINCENT,You'll dig it the most. But you know what the funniest thing about Europe is?,You'll dig it the most. But you know what the funniest thing about Europe is?
Pulp Fiction,JULES,What?,What?
Pulp Fiction,VINCENT,"It's the little differences. A lotta the same shit we got here, they got there, but there they're a little different.","It's the little differences. A lotta the same shit we got here, they got there, but there they're a little different."
Pulp Fiction,JULES,Examples?,Examples?
Pulp Fiction,VINCENT,"Well, in Amsterdam, you can buy beer in a movie theatre. And I don't mean in a paper cup either. They give you a glass of beer, like in a bar. In Paris, you can buy beer at MacDonald's. Also, you know what they call a Quarter Pounder with Cheese in Paris?","Well, in Amsterdam, you can buy beer in a movie theatre. And I don't mean in a paper cup either. They give you a glass of beer, like in a bar. In Paris, you can buy beer at MacDonald's. Also, you know what they call a Quarter Pounder with Cheese in Paris?"
Pulp Fiction,JULES,They don't call it a Quarter Pounder with Cheese?,They don't call it a Quarter Pounder with Cheese?
Pulp Fiction,VINCENT,"No, they got the metric system there, they wouldn't know what the fuck a Quarter Pounder is.","No, they got the metric system there, they wouldn't know what the fuck a Quarter Pounder is."
Pulp Fiction,JULES,What'd they call it?,What'd they call it?
Pulp Fiction,VINCENT,Royale with Cheese.,Royale with Cheese.
Pulp Fiction,VINCENT,"Big Mac's a Big Mac, but they call it Le Big Mac.","Big Mac's a Big Mac, but they call it Le Big Mac."
Pulp Fiction,JULES,Le Big Mac. What do they call a Whopper?,Le Big Mac. What do they call a Whopper?
Pulp Fiction,VINCENT,"I dunno, I didn't go into a Burger King.  But you know what they put on french fries in Holland instead of ketchup?","I dunno, I didn't go into a Burger King. But you know what they put on french fries in Holland instead of ketchup?"
