film,character,dialogue,cleaned_dialogue,sentiment_score
Pulp Fiction,JULES,"� Okay now, tell me about the hash bars?","� Okay now, tell me about the hash bars?",0.2263
Pulp Fiction,VINCENT,What so you want to know?,What so you want to know?,0.1477
Pulp Fiction,JULES,"Well, hash is legal there, right?","Well, hash is legal there, right?",0.3818
Pulp Fiction,VINCENT,"Yeah, it's legal, but is ain't a hundred percent legal. I mean you can't walk into a restaurant, roll a joint, and start puffin' away. You're only supposed to smoke in your home or certain designated places.","Yeah, it's legal, but is ain't a hundred percent legal. I mean you can't walk into a restaurant, roll a joint, and start puffin' away. You're only supposed to smoke in your home or certain designated places.",0.6428
Pulp Fiction,JULES,Those are hash bars?,Those are hash bars?,0.0
Pulp Fiction,VINCENT,"Yeah, it breaks down like this: it's legal to buy it, it's legal to own it and, if you're the proprietor of a hash bar, it's legal to sell it. It's legal to carry it, which doesn't really matter 'cause � get a load of this � if the cops stop you, it's illegal for this to search you. Searching you is a right that the cops in Amsterdam don't have.","Yeah, it breaks down like this: it's legal to buy it, it's legal to own it and, if you're the proprietor of a hash bar, it's legal to sell it. It's legal to carry it, which doesn't really matter 'cause � get a load of this � if the cops stop you, it's illegal for this to search you. Searching you is a right that the cops in Amsterdam don't have.",0.1554
Pulp Fiction,JULES,"That did it, man � I'm fuckin' goin', that's all there is to it.","That did it, man � I'm fuckin' goin', that's all there is to it.",0.0
Pulp Fiction,VINCENT,You'll dig it the most. But you know what the funniest thing about Europe is?,You'll dig it the most. But you know what the funniest thing about Europe is?,0.7096
Pulp Fiction,JULES,What?,What?,0.0
Pulp Fiction,VINCENT,"It's the little differences. A lotta the same shit we got here, they got there, but there they're a little different.","It's the little differences. A lotta the same shit we got here, they got there, but there they're a little different.",-0.3182
Pulp Fiction,JULES,Examples?,Examples?,0.0
Pulp Fiction,VINCENT,"Well, in Amsterdam, you can buy beer in a movie theatre. And I don't mean in a paper cup either. They give you a glass of beer, like in a bar. In Paris, you can buy beer at MacDonald's. Also, you know what they call a Quarter Pounder with Cheese in Paris?","Well, in Amsterdam, you can buy beer in a movie theatre. And I don't mean in a paper cup either. They give you a glass of beer, like in a bar. In Paris, you can buy beer at MacDonald's. Also, you know what they call a Quarter Pounder with Cheese in Paris?",0.5574
Pulp Fiction,JULES,They don't call it a Quarter Pounder with Cheese?,They don't call it a Quarter Pounder with Cheese?,0.0
Pulp Fiction,VINCENT,"No, they got the metric system there, they wouldn't know what the fuck a Quarter Pounder is.","No, they got the metric system there, they wouldn't know what the fuck a Quarter Pounder is.",-0.5423
Pulp Fiction,JULES,What'd they call it?,What'd they call it?,0.0
Pulp Fiction,VINCENT,Royale with Cheese.,Royale with Cheese.,0.0
Pulp Fiction,VINCENT,"Big Mac's a Big Mac, but they call it Le Big Mac.","Big Mac's a Big Mac, but they call it Le Big Mac.",0.0
Pulp Fiction,JULES,Le Big Mac. What do they call a Whopper?,Le Big Mac. What do they call a Whopper?,0.0
Pulp Fiction,VINCENT,"I dunno, I didn't go into a Burger King.  But you know what they put on french fries in Holland instead of ketchup?","I dunno, I didn't go into a Burger King. But you know what they put on french fries in Holland instead of ketchup?",0.0
Pulp Fiction,JULES,What?,What?,0.0
Pulp Fiction,VINCENT,Mayonnaise.,Mayonnaise.,0.0
Pulp Fiction,JULES,Goddamn!,Goddamn!,-0.5255
Pulp Fiction,VINCENT,"I seen 'em do it. And I don't mean a little bit on the side of the plate, they fuckin' drown 'em in it.","I seen 'em do it. And I don't mean a little bit on the side of the plate, they fuckin' drown 'em in it.",-0.6115
Pulp Fiction,JULES,Uuccch!,Uuccch!,0.0
Pulp Fiction,JULES,We should have shotguns for this kind of deal.,We should have shotguns for this kind of deal.,0.0
Pulp Fiction,VINCENT,How many up there?,How many up there?,0.0
Pulp Fiction,JULES,Three or four.,Three or four.,0.0
Pulp Fiction,VINCENT,Counting our guy?,Counting our guy?,0.0
Pulp Fiction,JULES,I'm not sure.,I'm not sure.,-0.2411
Pulp Fiction,VINCENT,So there could be five guys up there?,So there could be five guys up there?,0.0
Pulp Fiction,JULES,It's possible.,It's possible.,0.0
Pulp Fiction,VINCENT,We should have fuckin' shotguns.,We should have fuckin' shotguns.,0.0
Pulp Fiction,VINCENT,What's her name?,What's her name?,0.0
Pulp Fiction,JULES,Mia.,Mia.,-0.296
Pulp Fiction,VINCENT,How did Marsellus and her meet?,How did Marsellus and her meet?,0.0
Pulp Fiction,JULES,"I dunno, however people meet people. She usta be an actress.","I dunno, however people meet people. She usta be an actress.",0.0
Pulp Fiction,VINCENT,She ever do anything I woulda saw?,She ever do anything I woulda saw?,0.0
Pulp Fiction,JULES,I think her biggest deal was she starred in a pilot.,I think her biggest deal was she starred in a pilot.,0.0
Pulp Fiction,VINCENT,What's a pilot?,What's a pilot?,0.0
Pulp Fiction,JULES,"Well, you know the shows on TV?","Well, you know the shows on TV?",0.2732
Pulp Fiction,VINCENT,I don't watch TV.,I don't watch TV.,0.0
Pulp Fiction,JULES,"Yes, but you're aware that there's an invention called television, and on that invention they show shows?","Yes, but you're aware that there's an invention called television, and on that invention they show shows?",0.2144
Pulp Fiction,VINCENT,Yeah.,Yeah.,0.296
Pulp Fiction,JULES,"Well, the way they pick the shows on TV is they make one show, and that show's called a pilot. And they show that one show to the people who pick the shows, and on the strength of that one show, they decide if they want to make more shows. Some get accepted and become TV programs, and some don't, and become nothing. She starred in one of the ones that became nothing.","Well, the way they pick the shows on TV is they make one show, and that show's called a pilot. And they show that one show to the people who pick the shows, and on the strength of that one show, they decide if they want to make more shows. Some get accepted and become TV programs, and some don't, and become nothing. She starred in one of the ones that became nothing.",0.7717
Pulp Fiction,JULES,"You remember Antwan Rockamora? Half- black, half-Samoan, usta call him Tony Rocky Horror.","You remember Antwan Rockamora? Half- black, half-Samoan, usta call him Tony Rocky Horror.",-0.5719
Pulp Fiction,VINCENT,"Yeah maybe, fat right?","Yeah maybe, fat right?",0.296
Pulp Fiction,JULES,"I wouldn't go so far as to call the brother fat. He's got a weight problem.  What's the nigger gonna do, he's Samoan.","I wouldn't go so far as to call the brother fat. He's got a weight problem. What's the nigger gonna do, he's Samoan.",-0.7906
Pulp Fiction,VINCENT,"I think I know who you mean, what about him?","I think I know who you mean, what about him?",0.0
Pulp Fiction,JULES,"Well, Marsellus fucked his ass up good.  And word around the campfire, it was on account of Marsellus Wallace's wife.","Well, Marsellus fucked his ass up good. And word around the campfire, it was on account of Marsellus Wallace's wife.",-0.5994
Pulp Fiction,VINCENT,"What'd he do, fuck her?","What'd he do, fuck her?",-0.5423
Pulp Fiction,JULES,"No no no no no no no, nothin' that bad.","No no no no no no no, nothin' that bad.",0.4479
Pulp Fiction,VINCENT,Well what then?,Well what then?,0.2732
Pulp Fiction,JULES,He gave her a foot massage.,He gave her a foot massage.,0.0
Pulp Fiction,VINCENT,A foot massage?,A foot massage?,0.0
Pulp Fiction,VINCENT,That's all?,That's all?,0.0
Pulp Fiction,VINCENT,What did Marsellus do?,What did Marsellus do?,0.0
Pulp Fiction,JULES,"Sent a couple of guys over to his place.  They took him out on the patio of his apartment, threw his ass over the balcony.  Nigger fell four stories. They had this garden at the bottom, enclosed in glass, like one of them greenhouses � nigger fell through that. Since then, he's kinda developed a speech impediment.","Sent a couple of guys over to his place. They took him out on the patio of his apartment, threw his ass over the balcony. Nigger fell four stories. They had this garden at the bottom, enclosed in glass, like one of them greenhouses � nigger fell through that. Since then, he's kinda developed a speech impediment.",-0.891
Pulp Fiction,VINCENT,That's a damn shame.,That's a damn shame.,-0.7003
Pulp Fiction,VINCENT,"Still I hafta say, play with matches, ya get burned.","Still I hafta say, play with matches, ya get burned.",0.34
Pulp Fiction,JULES,Whaddya mean?,Whaddya mean?,0.0
Pulp Fiction,VINCENT,You don't be givin' Marsellus Wallace's new bride a foot massage.,You don't be givin' Marsellus Wallace's new bride a foot massage.,0.0
Pulp Fiction,JULES,You don't think he overreacted?,You don't think he overreacted?,0.3089
Pulp Fiction,VINCENT,"Antwan probably didn't expect Marsellus to react like he did, but he had to expect a reaction.","Antwan probably didn't expect Marsellus to react like he did, but he had to expect a reaction.",0.1901
Pulp Fiction,JULES,"It was a foot massage, a foot massage is nothing, I give my mother a foot massage.","It was a foot massage, a foot massage is nothing, I give my mother a foot massage.",0.0
Pulp Fiction,VINCENT,"It's laying hands on Marsellus Wallace's new wife in a familiar way. Is it as bad as eatin' her out � no, but you're in the same fuckin' ballpark.","It's laying hands on Marsellus Wallace's new wife in a familiar way. Is it as bad as eatin' her out � no, but you're in the same fuckin' ballpark.",-0.3071
Pulp Fiction,JULES,"Whoa... whoa... whoa... stop right there.  Eatin' a bitch out, and givin' a bitch a foot massage ain't even the same fuckin' thing.","Whoa... whoa... whoa... stop right there. Eatin' a bitch out, and givin' a bitch a foot massage ain't even the same fuckin' thing.",-0.8689
Pulp Fiction,VINCENT,"Not the same thing, the same ballpark.","Not the same thing, the same ballpark.",0.0
Pulp Fiction,JULES,"It ain't no ballpark either. Look maybe your method of massage differs from mine, but touchin' his lady's feet, and stickin' your tongue in her holyiest of holyies, ain't the same ballpark, ain't the same league, ain't even the same fuckin' sport. Foot massages don't mean shit.","It ain't no ballpark either. Look maybe your method of massage differs from mine, but touchin' his lady's feet, and stickin' your tongue in her holyiest of holyies, ain't the same ballpark, ain't the same league, ain't even the same fuckin' sport. Foot massages don't mean shit.",0.652
Pulp Fiction,VINCENT,Have you ever given a foot massage?,Have you ever given a foot massage?,0.0
Pulp Fiction,JULES,Don't be tellin' me about foot massages � I'm the foot fuckin' master.,Don't be tellin' me about foot massages � I'm the foot fuckin' master.,0.0
Pulp Fiction,VINCENT,Given a lot of 'em?,Given a lot of 'em?,0.0
Pulp Fiction,JULES,"Shit yeah. I got my technique down man, I don't tickle or nothin'.","Shit yeah. I got my technique down man, I don't tickle or nothin'.",-0.34
Pulp Fiction,VINCENT,Have you ever given a guy a foot massage?,Have you ever given a guy a foot massage?,0.0
Pulp Fiction,JULES,Fuck you.,Fuck you.,-0.5423
Pulp Fiction,VINCENT,How many?,How many?,0.0
Pulp Fiction,JULES,Fuck you.,Fuck you.,-0.5423
Pulp Fiction,VINCENT,Would you give me a foot massage � I'm kinda tired.,Would you give me a foot massage � I'm kinda tired.,-0.3832
Pulp Fiction,JULES,"Man, you best back off, I'm gittin' pissed � this is the door.","Man, you best back off, I'm gittin' pissed � this is the door.",0.0
Pulp Fiction,JULES,What time is it?,What time is it?,0.0
Pulp Fiction,JULES,"It ain't quite time, let's hang back.","It ain't quite time, let's hang back.",0.0
